S/N,Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
91,Australia,2017,SQL Injection,Healthcare,"$68,910,000","634,048",Hacker Group,Unpatched Software,Firewall,66
92,UK,2023,DDoS,Banking,"$81,260,000","547,495",Nation-state,Weak Passwords,AI-based Detection,3
93,UK,2024,DDoS,Healthcare,"$58,310,000","487,694",Hacker Group,Weak Passwords,Antivirus,41
94,France,2023,Man in the Middle,Retail,"$88,650,000","427,067",Hacker Group,Unpatched Software,Antivirus,42
95,Australia,2023,Malware,Communications,"$1,510,000","954,902",Hacker Group,Unpatched Software,AI-based Detection,55
96,UK,2020,Ransomware,Banking,"$49,230,000","128,594",Nation-state,Weak Passwords,Firewall,53
97,Germany,2024,Phishing,Healthcare,"$84,530,000","189,430",Nation-state,Social Engineering,Firewall,1
98,France,2021,DDoS,Healthcare,"$90,630,000","603,327",Nation-state,Unpatched Software,AI-based Detection,15
99,UK,2021,DDoS,Education,"$80,260,000","276,593",Nation-state,Social Engineering,Encryption,36
100,Japan,2023,Malware,Education,"$22,870,000","975,282",Insider,Unpatched Software,Firewall,49
101,India,2018,Ransomware,Retail,"$23,790,000","486,810",Hacker Group,Unpatched Software,Antivirus,11
102,Japan,2021,Ransomware,IT,"$35,430,000","969,517",Hacker Group,Weak Passwords,Firewall,25
103,Australia,2022,Malware,Banking,"$74,770,000","151,599",Insider,Zero-day,Encryption,18
104,Japan,2022,SQL Injection,IT,"$66,660,000","749,545",Unknown,Social Engineering,AI-based Detection,30
105,Brazil,2015,Malware,Retail,"$78,130,000","71,743",Hacker Group,Unpatched Software,VPN,35
106,Germany,2018,Phishing,Banking,"$11,390,000","969,684",Hacker Group,Weak Passwords,Antivirus,41
107,Germany,2020,SQL Injection,Education,"$87,840,000","842,506",Unknown,Weak Passwords,Antivirus,19
108,Brazil,2023,Man in the Middle,IT,"$10,180,000","933,883",Nation-state,Social Engineering,Encryption,41
109,UK,2019,Malware,Education,"$4,420,000","393,748",Nation-state,Unpatched Software,AI-based Detection,10
110,Brazil,2020,DDoS,Banking,"$76,980,000","708,549",Unknown,Weak Passwords,Encryption,37
111,Japan,2020,DDoS,Healthcare,"$73,240,000","136,762",Unknown,Zero-day,VPN,41
112,Russia,2018,Malware,Communications,"$8,110,000","737,958",Unknown,Social Engineering,VPN,35
113,Japan,2020,Man in the Middle,Banking,"$23,550,000","108,886",Insider,Unpatched Software,Antivirus,51
114,Australia,2016,Phishing,Banking,"$92,790,000","285,311",Nation-state,Unpatched Software,VPN,55
115,USA,2021,Malware,Retail,"$71,110,000","961,868",Hacker Group,Unpatched Software,Antivirus,57
116,Australia,2023,Man in the Middle,Banking,"$57,340,000","471,743",Unknown,Zero-day,Firewall,29
117,UK,2024,Phishing,Government,"$81,260,000","993,903",Unknown,Weak Passwords,Firewall,25
118,China,2024,Ransomware,Communications,"$7,320,000","179,156",Nation-state,Social Engineering,AI-based Detection,34
119,Germany,2022,Man in the Middle,Healthcare,"$56,270,000","699,129",Nation-state,Unpatched Software,Encryption,25
120,Russia,2021,Malware,IT,"$83,760,000","920,983",Insider,Social Engineering,Encryption,24
121,UK,2023,SQL Injection,Banking,"$85,640,000","875,790",Nation-state,Unpatched Software,Firewall,36
122,Russia,2016,Malware,Retail,"$61,390,000","415,274",Hacker Group,Weak Passwords,Encryption,40
123,Russia,2023,Ransomware,Banking,"$42,140,000","222,293",Hacker Group,Social Engineering,VPN,38
124,France,2021,Man in the Middle,Retail,"$94,400,000","357,092",Unknown,Unpatched Software,VPN,71
125,Australia,2021,Malware,Communications,"$84,680,000","708,291",Hacker Group,Zero-day,AI-based Detection,54
126,Russia,2024,Malware,Banking,"$93,330,000","517,610",Nation-state,Social Engineering,Firewall,35
127,Germany,2023,Malware,Government,"$70,460,000","368,803",Hacker Group,Unpatched Software,VPN,23
128,China,2023,Man in the Middle,Healthcare,"$48,710,000","421,191",Nation-state,Unpatched Software,Firewall,62
129,India,2018,Phishing,IT,"$69,030,000","282,139",Hacker Group,Unpatched Software,Encryption,37
130,China,2018,Malware,IT,"$49,190,000","117,543",Insider,Social Engineering,Encryption,22
131,France,2016,Phishing,Government,"$27,200,000","536,925",Unknown,Zero-day,Encryption,62
132,France,2023,Ransomware,Retail,"$64,080,000","238,068",Unknown,Unpatched Software,VPN,61
133,Japan,2022,Malware,Communications,"$38,460,000","39,814",Insider,Social Engineering,VPN,32
134,India,2018,DDoS,Government,"$80,890,000","268,956",Nation-state,Zero-day,Antivirus,47
135,France,2015,Malware,Education,"$15,760,000",424,Nation-state,Unpatched Software,Antivirus,58
136,USA,2021,SQL Injection,Communications,"$82,240,000","982,969",Unknown,Unpatched Software,Encryption,64
137,Germany,2021,Malware,Government,"$82,720,000","219,703",Nation-state,Social Engineering,Firewall,33
138,Japan,2016,Man in the Middle,Retail,"$18,960,000","530,947",Nation-state,Unpatched Software,VPN,12
139,UK,2017,SQL Injection,IT,"$53,390,000","576,110",Insider,Unpatched Software,Antivirus,37
140,UK,2017,Man in the Middle,Government,"$48,900,000","177,154",Unknown,Zero-day,Antivirus,68
141,France,2017,SQL Injection,Healthcare,"$60,770,000","212,177",Hacker Group,Social Engineering,Encryption,2
142,Germany,2021,DDoS,Banking,"$91,240,000","8,787",Hacker Group,Unpatched Software,Encryption,55
143,USA,2015,Phishing,Education,"$41,360,000","291,727",Insider,Social Engineering,Encryption,31
144,Germany,2022,DDoS,IT,"$78,180,000","987,652",Hacker Group,Social Engineering,VPN,72
145,China,2022,Ransomware,Communications,"$16,160,000","236,284",Unknown,Social Engineering,Antivirus,38
146,USA,2020,Man in the Middle,Communications,"$15,630,000","209,853",Nation-state,Zero-day,VPN,1
147,Australia,2020,DDoS,Retail,"$36,290,000","755,621",Unknown,Zero-day,Antivirus,50
148,France,2015,SQL Injection,Retail,"$61,410,000","694,844",Insider,Unpatched Software,Antivirus,43
149,France,2018,SQL Injection,Retail,"$53,720,000","795,831",Nation-state,Unpatched Software,Encryption,61
150,Brazil,2020,DDoS,Retail,"$17,400,000","342,253",Unknown,Weak Passwords,Encryption,22
151,USA,2016,Phishing,Retail,"$75,940,000","638,693",Nation-state,Weak Passwords,AI-based Detection,35
152,USA,2018,Phishing,Banking,"$55,900,000","618,616",Insider,Zero-day,VPN,51
153,Brazil,2023,SQL Injection,Retail,"$56,760,000","774,426",Hacker Group,Social Engineering,AI-based Detection,21
154,Australia,2023,DDoS,Government,"$76,250,000","900,661",Insider,Unpatched Software,Encryption,64
155,India,2019,Phishing,Communications,"$75,230,000","141,627",Insider,Unpatched Software,AI-based Detection,64
156,Germany,2024,Phishing,IT,"$3,930,000","845,785",Unknown,Unpatched Software,VPN,69
157,Australia,2015,Malware,Retail,"$99,410,000","120,048",Insider,Zero-day,Antivirus,12
158,USA,2016,Malware,Retail,"$32,890,000","894,935",Unknown,Social Engineering,AI-based Detection,31
159,Japan,2017,SQL Injection,Healthcare,"$21,660,000","277,555",Unknown,Social Engineering,AI-based Detection,45
160,Australia,2024,Ransomware,Education,"$85,860,000","461,012",Insider,Unpatched Software,AI-based Detection,38
161,Russia,2021,SQL Injection,Communications,"$80,230,000","599,291",Nation-state,Social Engineering,Firewall,55
162,Australia,2016,Man in the Middle,Government,"$31,920,000","163,602",Hacker Group,Unpatched Software,VPN,26
163,UK,2021,SQL Injection,Government,"$39,030,000","986,196",Nation-state,Weak Passwords,Encryption,11
164,France,2024,Ransomware,Retail,"$99,030,000","349,008",Nation-state,Zero-day,Encryption,20
165,Germany,2022,SQL Injection,Retail,"$25,100,000","559,667",Unknown,Zero-day,Antivirus,69
166,Russia,2018,DDoS,Healthcare,"$67,270,000","335,628",Hacker Group,Weak Passwords,Antivirus,20
167,Germany,2016,Ransomware,Education,"$29,890,000","385,363",Unknown,Unpatched Software,Firewall,22
168,USA,2021,Man in the Middle,Education,"$15,920,000","945,793",Insider,Zero-day,Firewall,32
169,Russia,2016,SQL Injection,Communications,"$95,930,000","595,950",Nation-state,Social Engineering,AI-based Detection,11
170,Japan,2022,DDoS,Education,"$12,610,000","756,722",Nation-state,Weak Passwords,VPN,15
171,Australia,2024,Ransomware,Government,"$39,920,000","594,424",Hacker Group,Social Engineering,Antivirus,54
172,China,2015,Malware,Retail,"$19,360,000","457,790",Hacker Group,Zero-day,Encryption,39
173,China,2024,Ransomware,Communications,"$70,470,000","549,337",Unknown,Social Engineering,Antivirus,63
174,France,2023,Malware,Healthcare,"$53,340,000","714,681",Unknown,Unpatched Software,Firewall,34
175,India,2022,Malware,Government,"$84,150,000","849,745",Hacker Group,Social Engineering,Antivirus,51
176,Brazil,2019,SQL Injection,Banking,"$27,640,000","826,256",Nation-state,Zero-day,VPN,50
177,UK,2017,DDoS,IT,"$9,010,000","617,543",Unknown,Zero-day,Antivirus,43
178,USA,2017,SQL Injection,Banking,"$9,080,000","895,507",Unknown,Social Engineering,AI-based Detection,52
179,UK,2020,SQL Injection,Healthcare,"$67,900,000","2,233",Unknown,Social Engineering,Antivirus,45
180,Japan,2022,Phishing,Government,"$71,120,000","76,776",Unknown,Unpatched Software,Firewall,42
181,China,2019,Ransomware,Retail,"$6,080,000","175,261",Nation-state,Zero-day,VPN,64
182,Australia,2016,Man in the Middle,Healthcare,"$90,850,000","746,369",Insider,Unpatched Software,Antivirus,30
183,Australia,2017,Malware,Healthcare,"$77,320,000","563,706",Nation-state,Unpatched Software,AI-based Detection,35
184,India,2022,DDoS,Healthcare,"$12,010,000","254,980",Insider,Unpatched Software,AI-based Detection,58
185,Russia,2021,Malware,Education,"$540,000","869,574",Unknown,Unpatched Software,Antivirus,16
186,Russia,2015,Malware,IT,"$95,330,000","282,598",Unknown,Zero-day,VPN,21
187,Brazil,2023,Malware,Communications,"$62,770,000","422,623",Nation-state,Zero-day,AI-based Detection,55
188,Brazil,2021,Malware,Healthcare,"$83,060,000","937,717",Unknown,Unpatched Software,Encryption,56
189,India,2021,Man in the Middle,Communications,"$71,640,000","416,077",Insider,Social Engineering,VPN,39
190,Australia,2019,Man in the Middle,Banking,"$47,670,000","112,313",Insider,Social Engineering,Firewall,63
191,Australia,2017,Man in the Middle,Communications,"$79,720,000","799,971",Insider,Zero-day,Firewall,63
192,Japan,2018,Man in the Middle,Retail,"$47,110,000","690,595",Hacker Group,Social Engineering,Antivirus,71
193,India,2017,Man in the Middle,Government,"$69,690,000","713,419",Hacker Group,Unpatched Software,AI-based Detection,70
194,Australia,2022,Man in the Middle,Healthcare,"$81,310,000","707,365",Hacker Group,Zero-day,Antivirus,38
195,Brazil,2016,Malware,Healthcare,"$83,880,000","155,059",Unknown,Unpatched Software,Antivirus,29
196,Russia,2022,Phishing,Banking,"$85,010,000","923,558",Insider,Weak Passwords,Encryption,41
197,Germany,2022,DDoS,Communications,"$20,550,000","239,313",Nation-state,Social Engineering,AI-based Detection,6
198,Russia,2023,Ransomware,Communications,"$60,080,000","874,485",Hacker Group,Weak Passwords,Antivirus,48
199,Russia,2016,SQL Injection,Healthcare,"$46,950,000","90,895",Unknown,Social Engineering,VPN,29
200,China,2015,Man in the Middle,Retail,"$47,200,000","529,593",Hacker Group,Zero-day,VPN,64
201,Germany,2018,Phishing,Government,"$46,920,000","610,201",Nation-state,Weak Passwords,VPN,72
202,USA,2021,DDoS,Communications,"$1,980,000","863,623",Hacker Group,Weak Passwords,Firewall,24
203,USA,2018,Malware,Healthcare,"$14,280,000","755,771",Insider,Weak Passwords,Antivirus,44
204,Japan,2021,SQL Injection,Communications,"$66,230,000","164,032",Unknown,Social Engineering,Firewall,5
205,Russia,2019,Man in the Middle,Communications,"$95,660,000","259,993",Nation-state,Weak Passwords,Antivirus,58
206,UK,2019,Phishing,Retail,"$90,130,000","232,359",Unknown,Social Engineering,Firewall,17
207,Germany,2018,Phishing,Communications,"$84,900,000","800,031",Unknown,Unpatched Software,Encryption,10
208,UK,2016,Phishing,Healthcare,"$71,190,000","925,040",Unknown,Unpatched Software,Encryption,48
209,Brazil,2016,Malware,IT,"$99,290,000","273,469",Insider,Social Engineering,AI-based Detection,67
210,Germany,2024,Malware,Banking,"$22,840,000","797,768",Insider,Zero-day,Firewall,58
211,Japan,2022,DDoS,Education,"$82,190,000","905,203",Hacker Group,Weak Passwords,Antivirus,37
212,India,2023,Phishing,Communications,"$11,720,000","512,291",Insider,Zero-day,AI-based Detection,51
213,UK,2017,Phishing,Communications,"$27,080,000","416,833",Insider,Social Engineering,VPN,9
214,UK,2015,Ransomware,Government,"$30,740,000","744,505",Nation-state,Unpatched Software,Antivirus,43
215,Brazil,2020,Malware,Banking,"$79,610,000","755,029",Nation-state,Weak Passwords,Firewall,27
216,Brazil,2017,Malware,Banking,"$99,220,000","660,182",Insider,Weak Passwords,AI-based Detection,21
217,India,2016,Ransomware,Retail,"$29,480,000","403,737",Insider,Zero-day,Firewall,26
218,China,2019,DDoS,Retail,"$7,870,000","86,783",Nation-state,Weak Passwords,Antivirus,12
219,Australia,2022,DDoS,Communications,"$86,770,000","390,083",Nation-state,Social Engineering,VPN,72
220,Brazil,2023,Man in the Middle,Banking,"$20,150,000","376,174",Unknown,Social Engineering,Firewall,43
221,UK,2022,Ransomware,Government,"$31,940,000","485,080",Insider,Weak Passwords,Antivirus,61
222,France,2024,Ransomware,Banking,"$78,820,000","759,804",Unknown,Unpatched Software,AI-based Detection,47
223,Japan,2017,Phishing,IT,"$65,620,000","286,208",Hacker Group,Zero-day,Firewall,57
224,USA,2017,Malware,IT,"$75,530,000","992,377",Nation-state,Unpatched Software,Antivirus,33
225,USA,2021,Man in the Middle,Education,"$36,060,000","48,987",Unknown,Zero-day,VPN,58
226,Russia,2021,SQL Injection,Communications,"$68,070,000","538,602",Insider,Unpatched Software,VPN,19
227,Japan,2015,Malware,Healthcare,"$26,290,000","808,392",Hacker Group,Weak Passwords,AI-based Detection,4
228,UK,2015,Ransomware,IT,"$26,120,000","21,580",Unknown,Weak Passwords,AI-based Detection,14
229,France,2020,Phishing,Government,"$94,440,000","209,658",Insider,Zero-day,VPN,11
230,Japan,2017,Man in the Middle,Retail,"$74,120,000","559,889",Nation-state,Zero-day,VPN,10
231,France,2015,SQL Injection,Government,"$12,920,000","344,516",Insider,Zero-day,VPN,28
232,Australia,2024,Phishing,Retail,"$73,430,000","897,569",Hacker Group,Social Engineering,AI-based Detection,66
233,Australia,2023,SQL Injection,Healthcare,"$99,190,000","538,688",Nation-state,Zero-day,Encryption,36
234,China,2015,DDoS,Government,"$22,710,000","303,975",Nation-state,Social Engineering,Firewall,2
235,Japan,2022,SQL Injection,Communications,"$67,620,000","822,256",Insider,Unpatched Software,Firewall,60
236,Russia,2019,Man in the Middle,Healthcare,"$53,820,000","521,877",Unknown,Zero-day,Encryption,66
237,Brazil,2016,SQL Injection,Education,"$55,830,000","758,258",Unknown,Zero-day,Encryption,44
238,Brazil,2016,DDoS,IT,"$17,120,000","988,369",Hacker Group,Weak Passwords,AI-based Detection,26
239,France,2022,Malware,Healthcare,"$67,890,000","325,521",Hacker Group,Social Engineering,VPN,69
240,Germany,2021,Ransomware,IT,"$5,540,000","254,933",Nation-state,Social Engineering,AI-based Detection,41
241,UK,2023,DDoS,Government,"$55,280,000","339,144",Hacker Group,Unpatched Software,VPN,26
242,India,2022,Ransomware,Education,"$57,520,000","170,002",Unknown,Unpatched Software,AI-based Detection,54
243,Japan,2019,DDoS,Government,"$74,650,000","491,269",Nation-state,Zero-day,Firewall,67
244,China,2019,Phishing,Banking,"$49,140,000","341,100",Insider,Social Engineering,Firewall,37
245,India,2018,DDoS,Government,"$36,040,000","446,170",Insider,Unpatched Software,VPN,72
246,India,2015,Malware,Communications,"$14,090,000","28,398",Insider,Zero-day,Encryption,22
247,France,2017,Ransomware,Communications,"$66,360,000","180,698",Hacker Group,Zero-day,Encryption,53
248,Germany,2017,Malware,Healthcare,"$8,530,000","676,384",Unknown,Social Engineering,VPN,44
249,Brazil,2015,Ransomware,Healthcare,"$61,910,000","961,557",Insider,Unpatched Software,Firewall,64
250,Japan,2020,Phishing,Education,"$54,470,000","345,334",Hacker Group,Weak Passwords,Antivirus,25
251,Russia,2024,Phishing,Education,"$87,880,000","263,407",Nation-state,Zero-day,Antivirus,8
252,Russia,2017,Phishing,IT,"$89,220,000","791,350",Nation-state,Social Engineering,Antivirus,32
253,China,2022,Ransomware,Communications,"$64,920,000","591,819",Unknown,Zero-day,Antivirus,49
254,UK,2016,SQL Injection,IT,"$6,590,000","186,612",Unknown,Unpatched Software,Antivirus,30
255,Japan,2018,Ransomware,Retail,"$48,000,000","187,730",Nation-state,Weak Passwords,AI-based Detection,26
256,France,2015,SQL Injection,IT,"$87,780,000","6,456",Hacker Group,Social Engineering,Firewall,69
257,Japan,2020,Malware,Banking,"$15,730,000","762,662",Hacker Group,Zero-day,Firewall,56
258,UK,2015,Phishing,IT,"$30,260,000","256,396",Hacker Group,Zero-day,Encryption,29
259,Brazil,2021,SQL Injection,Healthcare,"$54,590,000","437,634",Unknown,Weak Passwords,AI-based Detection,29
260,Russia,2015,Malware,Healthcare,"$63,090,000","80,855",Nation-state,Zero-day,AI-based Detection,53
261,India,2016,Phishing,Retail,"$59,360,000","967,614",Nation-state,Unpatched Software,AI-based Detection,71
262,Japan,2020,Ransomware,IT,"$79,520,000","934,400",Unknown,Social Engineering,VPN,4
263,Germany,2023,Man in the Middle,Communications,"$87,830,000","547,719",Unknown,Weak Passwords,AI-based Detection,22
264,China,2016,Malware,Healthcare,"$96,630,000","808,984",Unknown,Weak Passwords,Firewall,26
265,Japan,2023,Ransomware,Banking,"$52,860,000","261,038",Nation-state,Social Engineering,Encryption,48
266,China,2024,Phishing,Education,"$4,010,000","841,054",Insider,Zero-day,Antivirus,49
267,China,2019,Ransomware,IT,"$68,020,000","175,038",Hacker Group,Weak Passwords,VPN,67
268,Russia,2022,Phishing,Retail,"$67,170,000","774,613",Hacker Group,Weak Passwords,Encryption,53
269,Japan,2021,Phishing,Healthcare,"$37,450,000","558,357",Hacker Group,Weak Passwords,VPN,49
270,India,2017,Phishing,Retail,"$36,780,000","620,056",Nation-state,Weak Passwords,Firewall,14
271,Russia,2018,Malware,Healthcare,"$40,660,000","90,640",Unknown,Social Engineering,Encryption,56
272,Russia,2022,Ransomware,Retail,"$76,930,000","449,596",Unknown,Unpatched Software,AI-based Detection,3
273,Australia,2020,Ransomware,Healthcare,"$58,910,000","207,842",Nation-state,Social Engineering,Antivirus,40
274,Germany,2017,Phishing,Retail,"$93,600,000","908,249",Nation-state,Zero-day,AI-based Detection,53
